unidade_id,grupamento,vagas,referencia
0625604,bercario,50,2025-07-11
0625604,maternal_1,75,2025-07-11
0625604,maternal_2,75,2025-07-11
0625605,bercario,25,2025-07-11
0625605,maternal_1,43,2025-07-11
0625605,maternal_2,50,2025-07-11
0625606,bercario,50,2025-07-11
0625606,maternal_1,50,2025-07-11
0625606,maternal_2,50,2025-07-11
0625607,bercario,25,2025-07-11
0625607,maternal_1,50,2025-07-11
0625607,maternal_2,75,2025-07-11
0625608,maternal_1,50,2025-07-11
0625608,maternal_2,75,2025-07-11
0625609,maternal_1,50,2025-07-11
0625609,maternal_2,50,2025-07-11
0625610,maternal_1,25,2025-07-11
0625610,maternal_2,25,2025-07-11
0625611,bercario,25,2025-07-11
0625611,maternal_1,75,2025-07-11
0625611,maternal_2,100,2025-07-11
0625612,bercario,50,2025-07-11
0625612,maternal_1,50,2025-07-11
0625612,maternal_2,50,2025-07-11
0625614,bercario,50,2025-07-11
0625614,maternal_1,75,2025-07-11
0625614,maternal_2,75,2025-07-11
0625615,bercario,25,2025-07-11
0625615,maternal_1,50,2025-07-11
0625615,maternal_2,50,2025-07-11
0625616,maternal_1,50,2025-07-11
0625616,maternal_2,50,2025-07-11
0625801,bercario,24,2025-07-11
0625801,maternal_1,22,2025-07-11
0625801,maternal_2,44,2025-07-11
0625802,bercario,25,2025-07-11
0625802,maternal_1,50,2025-07-11
0625802,maternal_2,75,2025-07-11
0625803,bercario,50,2025-07-11
0625803,maternal_1,50,2025-07-11
0625803,maternal_2,50,2025-07-11
0625804,bercario,25,2025-07-11
0625804,maternal_1,50,2025-07-11
0625804,maternal_2,50,2025-07-11
0625807,maternal_2,50,2025-07-11
0625813,maternal_2,25,2025-07-11
0625813,maternal_2,25,2025-07-11
0625814,bercario,25,2025-07-11
0625814,maternal_1,50,2025-07-11
0625814,maternal_2,75,2025-07-11
0625815,bercario,25,2025-07-11
0625815,maternal_1,40,2025-07-11
0625815,maternal_2,50,2025-07-11
0625816,bercario,25,2025-07-11
0625816,maternal_1,50,2025-07-11
0625816,maternal_2,50,2025-07-11
0625817,bercario,50,2025-07-11
0625817,maternal_1,50,2025-07-11
0625817,maternal_2,50,2025-07-11
0625818,bercario,25,2025-07-11
0625818,maternal_1,25,2025-07-11
0625818,maternal_2,48,2025-07-11
0625819,bercario,50,2025-07-11
0625819,maternal_1,50,2025-07-11
0625819,maternal_2,75,2025-07-11
0625820,bercario,75,2025-07-11
0625820,maternal_1,50,2025-07-11
0625820,maternal_2,75,2025-07-11
0716601,maternal_1,66,2025-07-11
0716601,maternal_2,70,2025-07-11
0716602,maternal_1,50,2025-07-11
0716602,maternal_2,50,2025-07-11
0716603,bercario,25,2025-07-11
0716603,maternal_1,25,2025-07-11
0716603,maternal_2,50,2025-07-11
0716604,maternal_1,75,2025-07-11
0716604,maternal_2,75,2025-07-11
0716605,bercario,25,2025-07-11
0716605,maternal_1,75,2025-07-11
0716605,maternal_2,50,2025-07-11
0716606,bercario,25,2025-07-11
0716606,maternal_1,25,2025-07-11
0716606,maternal_2,50,2025-07-11
0716607,bercario,25,2025-07-11
0716607,maternal_1,50,2025-07-11
0716607,maternal_2,50,2025-07-11
